Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Year Joined,Valuation(billions)
Rec Room,$4B,2021-03-23,Internet software & services,Seattle,United States,North America,2016,$294M,"First Round Capital, Sequoia Capital, Index Ventures",2021,4
Tekion,$4B,2020-10-21,Internet software & services,San Ramon,United States,North America,2016,$435M,"Airbus Ventures, Index Ventures, Advent International",2020,4
Otto Bock HealthCare,$4B,2017-06-24,Health,Duderstadt,Germany,Europe,1919,$0M,EQT Partners,2017,4
Outreach,$4B,2019-04-16,Internet software & services,Seattle,United States,North America,2011,$489M,"Mayfield Fund, M12, Trinity Ventures",2019,4
WeRide,$4B,2020-12-23,Auto & transportation,Guangzhou,China,Asia,2017,$1B,"Atop Capital, IDInvest Partners, Qiming Venture Partners",2020,4
Applied Intuition,$4B,2020-10-22,Data management & analytics,Sunnyvale,United States,North America,2017,$352M,"Andreessen Horowitz, Lux Capital, General Catalyst",2020,4
Course Hero,$4B,2020-02-12,Edtech,Redwood City,United States,North America,2006,$477M,"NewView Capital, Maveron, Ridge Ventures",2020,4
Relativity,$4B,2021-03-18,Internet software & services,Chicago,United States,North America,2001,$125M,"Silver Lake, ICONIQ Capital",2021,4
Whoop,$4B,2020-10-28,E-commerce & direct-to-consumer,Boston,United States,North America,2012,$404M,"NextView Ventures, Promus Ventures, Two Sigma Ventures",2020,4
Arctic Wolf Networks,$4B,2020-10-22,Cybersecurity,Eden Prairie,United States,North America,2012,$498M,"Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors",2020,4
GOAT,$4B,2020-09-23,E-commerce & direct-to-consumer,Culver City,United States,North America,2015,$493M,"Upfront Ventures, Webb Investment Network, D1 Capital Partners",2020,4
Noom,$4B,2021-05-24,Health,New York,United States,North America,2006,$657M,"Qualcomm Ventures, Samsung Ventures, Silver Lake",2021,4
Papaya Global,$4B,2021-03-04,Internet software & services,New York,United States,North America,2016,$440M,"Bessemer Venture Partners, Insight Partners, New Era Ventures",2021,4
Redwood Materials,$4B,2021-07-28,Other,Carson City,United States,North America,2017,$792M,"Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners",2021,4
ShareChat,$4B,2021-04-08,Internet software & services,Bengaluru,India,Asia,2015,$1B,"India Quotient, Elevation Capital, Lightspeed Venture Partners",2021,4
Sorare,$4B,2021-09-21,E-commerce & direct-to-consumer,Paris,France,Europe,2019,$739M,"Benchmark, Accel, SoftBank Group",2021,4
VAST Data,$4B,2020-04-16,Data management & analytics,New York,United States,North America,2016,$263M,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital",2020,4
Articulate,$4B,2021-07-01,Edtech,New York,United States,North America,2015,$2B,"Blackstone, ICONIQ Growth, General Atlantic",2021,4
Dutchie,$4B,2021-03-16,E-commerce & direct-to-consumer,Bend,United States,North America,2017,$603M,"Casa Verde Capital, Gron Ventures, Thrity Five Ventures",2021,4
FalconX,$4B,2021-08-10,Fintech,San Mateo,United States,North America,2018,$324M,"Tiger Global Management, American Express Ventures, B Capital Group",2021,4
Guild Education,$4B,2019-11-13,Internet software & services,Denver,United States,North America,2015,$379M,"General Atlantic, Blackstone, ICONIQ Growth",2019,4
Chainalysis,$4B,2020-11-23,Fintech,New York,United States,North America,2014,$367M,"Addition, Benhcmark, Accel",2020,4
dbt Labs,$4B,2021-06-30,Data management & analytics,Philadelphia,United States,North America,2016,$414M,"Andreessen Horowitz, Amplify Partners, Sequoia Capital",2021,4
Globalization Partners,$4B,2022-01-24,Internet software & services,Boston,United States,North America,2012,$350M,"Vista Equity Partners, Wincove, TDR Capital",2022,4
Intarcia Therapeutics,$4B,2014-04-01,Health,Boston,United States,North America,1995,$1B,"New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital",2014,4
Relativity Space,$4B,2020-11-23,Other,Inglewood,United States,North America,2016,$1B,"Playground Global, Bond, Tribe Capital",2020,4
StockX,$4B,2019-06-26,E-commerce & direct-to-consumer,Detroit,United States,North America,2016,$495M,"Google Ventures, Battery Ventures, DST Global",2019,4
ThoughtSpot,$4B,2018-05-08,Internet software & services,Sunnyvale,United States,North America,2012,$664M,"Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital",2018,4
SSENSE,$4B,2021-06-08,E-commerce & direct-to-consumer,Montreal,Canada,North America,2003,Unknown,Sequoia Capital,2021,4
BitPanda,$4B,2021-03-16,Fintech,Vienna,Austria,Europe,2014,$546M,"Speedinvest, Valar Ventures, Uniqa Ventures",2021,4
Dataminr,$4B,2018-06-04,Artificial intelligence,New York,United States,North America,2009,$1B,"Venrock, Institutional Venture Partners, Goldman Sachs",2018,4
Weee!,$4B,2021-03-16,"Supply chain, logistics, & delivery",Fremont,United States,North America,2015,$864M,"Goodwater Capital, iFly, XVC Venture Capital",2021,4
Medlinker,$4B,2018-07-31,Health,Chengdu,China,Asia,2014,$761M,"China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China",2018,4
Hozon Auto,$4B,2022-02-22,Auto & transportation,Shanghai,China,Asia,2014,$2B,"HD Capital, Qihoo 360 Technology, China Fortune Land Development",2022,4
Aurora Solar,$4B,2021-05-24,Internet software & services,San Francisco,United States,North America,2013,$523M,"Fifth Wall Ventures, Energize Ventures, ICONIQ Capital",2021,4
Branch,$4B,2018-09-10,Mobile & telecommunications,Redwood City,United States,North America,2014,$667M,"New Enterprise Associates, Pear, Cowboy Ventures",2018,4
BrowserStack,$4B,2021-06-16,Internet software & services,Dublin,Ireland,Europe,2011,$250M,"Accel, Insight Partners, Bond Capital",2021,4
Cerebras Systems,$4B,2018-11-14,Hardware,Los Altos,United States,North America,2016,$720M,"Benchmark, Foundation Capital, Sequoia Capital",2018,4
ClickUp,$4B,2020-12-15,Internet software & services,San Diego,United States,North America,2017,$535M,"Georgian Partners, Craft Ventures",2020,4
Clubhouse,$4B,2021-01-24,Mobile & telecommunications,San Francisco,United States,North America,2020,$110M,"Andreessen Horowitz, TQ Ventures",2021,4
Farmers Business Network,$4B,2020-08-03,Other,San Carlos,United States,North America,2014,$870M,"Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures",2020,4
Houzz,$4B,2014-09-30,E-commerce & direct-to-consumer,Palo Alto,United States,North America,2008,$614M,"New Enterprise Associates, Sequoia Capital, Comcast Ventures",2014,4
MEGVII,$4B,2017-10-31,Artificial intelligence,Beijing,China,Asia,2011,$1B,"Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company",2017,4
Melio,$4B,2021-01-25,Fintech,New York,United States,North America,2018,$504M,"Accel, Aleph, American Express Ventures",2021,4
Next Insurance,$4B,2019-10-07,Fintech,Palo Alto,United States,North America,2016,$881M,"Zeev Ventures, Ribbit Capital, TLV Partners",2019,4
Olive,$4B,2020-12-01,Internet software & services,Columbus,United States,North America,2012,$856M,"Drive Capital, General Catalyst, Ascension Ventures",2020,4
Patreon,$4B,2020-09-02,Internet software & services,San Francisco,United States,North America,2013,$413M,"Index Ventures, Thrive Capital, CRV",2020,4
PointClickCare,$4B,2021-01-07,Internet software & services,Mississauga,Canada,North America,2000,$230M,"Dragoneer Investment Group, Hellman & Friedman, JMI Equity",2021,4
Rubrik,$4B,2017-04-28,Data management & analytics,Palo Alto,United States,North America,2014,$553M,"Greylock Partners, Lightspeed Venture Partners, Khosla Ventures",2017,4
Vuori,$4B,2021-10-13,E-commerce & direct-to-consumer,Carlsbad,United States,North America,2015,$445M,"SoftBank Group, Norwest Venture Partners",2021,4
Webflow,$4B,2021-01-13,Internet software & services,San Francisco,United States,North America,2012,$335M,"Accel, Silversmith Capital Partners, capitalG",2021,4
Yuga Labs,$4B,2022-03-22,Fintech,Miami,United States,North America,2021,$450M,"Andreessen Horowitz, Thrive Capital, Sound Ventures",2022,4
Zapier,$4B,2021-01-14,Internet software & services,Sunnyvale,United States,North America,2011,$1M,"Sequoia Capital, Bessemer Venture Partners, Threshold Ventures",2021,4
Dadi Cinema,$3B,2016-05-11,Other,Shenzhen,China,Asia,2006,$154M,Alibaba Pictures Group,2016,3
Kurly,$3B,2021-07-09,"Supply chain, logistics, & delivery",Seoul,South Korea,Asia,2014,$770M,"Sequoia Capital China, DST Global, DST Global",2021,3
Moglix,$3B,2021-05-17,E-commerce & direct-to-consumer,,Singapore,Asia,2015,$471M,"Jungle Ventures, Accel, Venture Highway",2021,3
OpenAI,$3B,2019-07-22,Artificial intelligence,San Francisco,United States,North America,2015,$1B,Khosla Ventures,2019,3
Upstox,$3B,2021-11-29,Fintech,Mumbai,India,Asia,2010,$54M,"Tiger Global Management, Kalaari Capital",2021,3
Vista Global,$3B,2017-08-23,Other,Dubai,United Arab Emirates,Asia,2004,$418M,Rhone Capital,2017,3
Yixia,$3B,2015-11-24,Mobile & telecommunications,Beijing,China,Asia,2011,$775M,"Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures",2015,3
Automattic,$3B,2013-05-27,Internet software & services,San Francisco,United States,North America,2005,$859M,"Insight Venture Partners, Lowercase Capital, Polaris Partners",2013,3
OakNorth Bank,$3B,2017-10-12,Fintech,London,United Kingdom,Europe,2015,$1B,"Clermont Group, Coltrane Asset Management, Toscafund Asset Management",2017,3
Worldcoin,$3B,2021-06-29,Fintech,San Francisco,United States,North America,2019,$125M,"Day One Ventures, Coinbase Ventures, Andreessen Horowitz",2021,3
Hive Box,$3B,2018-01-23,"Supply chain, logistics, & delivery",Shenzhen,China,Asia,2015,$1B,"Eastern Bell Capital, SF Holding Co, STO Express",2018,3
Trax,$3B,2019-07-22,Artificial intelligence,,Singapore,Asia,2010,$1B,"Hopu Investment Management, Boyu Capital, DC Thomson Ventures",2019,3
MessageBird,$3B,2020-10-08,Mobile & telecommunications,Amsterdam,Netherlands,Europe,2011,$1B,"Y Combinator, Atomico, Accel",2020,3
Cohesity,$3B,2018-06-11,Data management & analytics,San Jose,United States,North America,2013,$660M,"SoftBank Group, Sequoia Capital, Wing Venture Capital",2018,3
Cybereason,$3B,2019-08-06,Cybersecurity,Boston,United States,North America,2012,$714M,"SoftBank Group, CRV, Spark Capital",2019,3
A24 Films,$3B,2022-03-09,Other,New York,United States,North America,2012,$225M,"Stripes Group, Neuberger Berman",2022,3
Acronis,$3B,2019-09-18,Cybersecurity,Schaffhausen,Switzerland,Europe,2003,$408M,"Goldman Sachs, VebVentures, Insight Partners",2019,3
Aura,$3B,2021-06-09,Cybersecurity,Burlington,United States,North America,2019,$500M,"Warburg Pincus, General Catalyst",2021,3
BYTON,$3B,2018-04-20,Auto & transportation,Nanjing,China,Asia,2016,$1B,"FAW Group, Tencent Holdings, Tus Holdings",2018,3
Cato Networks,$3B,2020-11-17,Cybersecurity,Tel Aviv,Israel,Asia,2015,$532M,"Aspect Ventures, SingTel Innov8, Greylock Partners",2020,3
Digit Insurance,$3B,2021-01-15,Fintech,Bengaluru,India,Asia,2016,$531M,"Fairfax Financial Holdings, A91 Partners, TVS Capital",2021,3
Fetch Rewards,$3B,2021-03-31,E-commerce & direct-to-consumer,Madison,United States,North America,2014,$582M,"Greycroft, Loeb.NYC, DST Global",2021,3
Games24x7,$3B,2022-03-30,Internet software & services,Mumbai,India,Asia,2006,$75M,"Tiger Global Management, The Raine Group, Malabar Investments",2022,3
GoStudent,$3B,2021-06-22,Edtech,Vienna,Austria,Europe,2017,$685M,"DN Capital, Left Lane Capital, Coatue Management",2021,3
Immutable,$3B,2022-03-07,Fintech,Sydney,Australia,Oceania,2018,$280M,"Fabric Ventures, AirTree Ventures, Temasek",2022,3
Infra.Market,$3B,2021-02-25,E-commerce & direct-to-consumer,Thane,India,Asia,2016,$274M,"Accel, Tiger Global Management, Nexus Venture Partners",2021,3
Side,$3B,2021-03-22,Internet software & services,San Francisco,United States,North America,2017,$314M,"Coatue Managemeny, Trinity Ventures, Matrix Partners",2021,3
SiFive,$3B,2022-03-16,Hardware,San Mateo,United States,North America,2015,$366M,"Sutter Hill Ventures, Osage University Partners, Spark Capital",2022,3
Somatus,$3B,2022-02-23,Health,McLean,United States,North America,2016,$465M,"The Blue Venture Fund, Flare Capital Partners, Longitude Capital",2022,3
Sysdig,$3B,2021-04-28,Cybersecurity,San Francisco,United States,North America,2013,$730M,"Accel, Bain Capital Ventures, Insight Partners",2021,3
Uniphore,$3B,2022-02-16,Artificial intelligence,Palo Alto,United States,North America,2008,$607M,"Chiratae Ventures, March Capital Partners, National Grid Partners",2022,3
Varo Bank,$3B,2021-09-09,Fintech,San Francisco,United States,North America,2015,$987M,"Warburg Pincus, The Rise Fund, HarbourVest Partners",2021,3
Vercel,$3B,2021-06-23,Internet software & services,San Francisco,United States,North America,2015,$313M,"CRV, Accel, Google Ventures",2021,3
Oura,$3B,2022-04-05,Health,Oulu,Finland,Europe,2013,$148M,"Forerunner Ventures, Lifeline Ventures, MSD Capital",2022,3
Unacademy,$3B,2020-09-02,Edtech,Bengaluru,India,Asia,2015,$789M,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India",2020,3
Axonius,$3B,2021-03-01,Cybersecurity,New York,United States,North America,2017,$395M,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge",2021,3
Clari,$3B,2021-03-03,Internet software & services,Sunnyvale,United States,North America,2012,$496M,"Sequoia Capital, Bain Capital Ventures, enaya Capital",2021,3
ManoMano,$3B,2021-07-05,E-commerce & direct-to-consumer,Paris,France,Europe,2013,$706M,"General Atlantic, Piton Capital, Partech Partners",2021,3
Pendo,$3B,2019-10-17,Internet software & services,Raleigh,United States,North America,2013,$357M,"Contour Venture Partners, Battery Ventures, Core Capital Partners",2019,3
Plume,$3B,2021-02-23,Internet software & services,Palo Alto,United States,North America,2015,$722M,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures",2021,3
JumpCloud,$3B,2021-09-13,Data management & analytics,Louisville,United States,North America,2012,$407M,"Foundry Group, General Atlantic, BlackRock",2021,3
Project44,$3B,2021-06-01,"Supply chain, logistics, & delivery",Chicago,United States,North America,2014,$818M,"Emergence Capital Partners, 8VC, Chicago Ventures",2021,3
Sourcegraph,$3B,2021-07-13,Internet software & services,San Francisco,United States,North America,2013,$248M,"Redpoint Ventures, Goldcrest Capital, Insight Partners",2021,3
OwnBackup,$3B,2021-01-28,Data management & analytics,Englewood Cliffs,United States,North America,2015,$507M,"Insight Partners, Salesforce Ventures, Vertex Ventures",2021,3
Starburst,$3B,2021-01-06,Data management & analytics,Boston,United States,North America,1999,$414M,"Index Ventures, Coatue Management, Andreessen Horowitz",2021,3
Youxia Motors,$3B,2018-04-02,Auto & transportation,Shanghai,China,Asia,2014,$1B,"China Environmental Protection Industry, China Fortune Ocean",2018,3
Zetwerk,$3B,2021-08-20,Internet software & services,Bengaluru,India,Asia,2018,$543M,"Sequoia Capital India, Kae Capital, Accel",2021,3
Cars24,$3B,2020-11-24,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,$1B,"Moore Strategic Ventures, DST Global, Sequoia Capital India",2020,3
Ethos,$3B,2021-05-11,Fintech,San Francisco,United States,North America,2016,$407M,"Sequoia Capital, Google Ventures, Accel",2021,3
Komodo Health,$3B,2020-05-22,Health,San Francisco,United States,North America,2014,$314M,"Andreessen Horowitz, IA Ventures, Felicis Ventures",2020,3
Nextiva,$3B,2021-09-14,Internet software & services,Scottsdale,United States,North America,2008,$200M,Goldman Sachs Asset Management,2021,3
o9 Solutions,$3B,2020-04-28,Artificial intelligence,Dallas,United States,North America,2009,$417M,KKR,2020,3
Scopely,$3B,2019-10-29,Mobile & telecommunications,Culver City,United States,North America,2011,$999M,"Greycroft, Sands Capital, Revolution Growth",2019,3
Sila Nanotechnologies,$3B,2019-04-16,Other,Alameda,United States,North America,2011,$880M,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners",2019,3
Via,$3B,2020-03-30,Auto & transportation,New York,United States,North America,2012,$777M,"83North, RiverPark Ventures, Pitango Venture Capital",2020,3
Transmit Security,$3B,2021-06-22,Cybersecurity,Tel Aviv,Israel,Asia,2014,$583M,"General Atlantic, Insight Partners, Vintage Investment Partners",2021,3
BlockDaemon,$3B,2021-09-21,Fintech,Los Angeles,United States,North America,2016,$398M,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital",2021,3
Convoy,$3B,2018-09-21,"Supply chain, logistics, & delivery",Seattle,United States,North America,2015,$666M,"Greylock Partners, capitalG, Y Combinator",2018,3
Dream Games,$3B,2021-06-30,Mobile & telecommunications,Istanbul,Turkey,Europe,2019,$468M,"Makers Fund, Index Ventures, Inova Ventures Participacees",2021,3
Illumio,$3B,2015-04-14,Cybersecurity,Sunnyvale,United States,North America,2013,$558M,"Data Collective, Formation 8, General Catalyst Partners",2015,3
MasterClass,$3B,2021-05-13,Edtech,San Francisco,United States,North America,2015,$461M,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners",2021,3
Graphcore,$3B,2018-12-18,Artificial intelligence,Bristol,United Kingdom,Europe,2016,$682M,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners",2018,3
ApplyBoard,$3B,2020-05-05,Edtech,Kitchener,Canada,North America,2015,$483M,"Artiman Ventures, Plug and Play Ventures, Anthos Capital",2020,3
Blockstream,$3B,2021-08-24,Fintech,Vancouver,Canada,North America,2014,$299M,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital",2021,3
Cedar,$3B,2021-03-09,Fintech,New York,United States,North America,2016,$326M,"Thrive Capital, Founders Fund, Cocnord Health Partners",2021,3
ContentSquare,$3B,2021-05-25,Internet software & services,Paris,France,Europe,2012,$812M,"Highland Europe, Eurazeo, Canaan Partners",2021,3
Eruditus Executive Education,$3B,2021-08-12,Edtech,Mumbai,India,Asia,2010,$591M,"Sequoia Capital India, Softbank, Bertelsmann India Investments",2021,3
Innovaccer,$3B,2021-02-19,Health,San Francisco,United States,North America,2014,$379M,"M12, WestBridge Capital, Lightspeed Venture Partners",2021,3
Ironclad,$3B,2022-01-18,Internet software & services,Sacramento,United States,North America,2014,$334M,"Accel, Sequoia Capital, Y Combinator",2022,3
Skims,$3B,2021-04-09,E-commerce & direct-to-consumer,Los Angeles,United States,North America,2019,$399M,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures",2021,3
Thumbtack,$3B,2015-09-29,E-commerce & direct-to-consumer,San Francisco,United States,North America,2008,$698M,"Tiger Global, Sequoia Capital, Google Capital",2015,3
Zipline,$3B,2019-05-20,"Supply chain, logistics, & delivery",South San Francisco,United States,North America,2014,$483M,"Sequoia Capital, Baillie Gifford & Co., Google Ventures",2019,3
BharatPe,$3B,2021-07-30,Fintech,New Delhi,India,Asia,2018,$600M,"Insight Partners, Sequoia Capital India, BEENEXT",2021,3
DriveWealth,$3B,2021-08-20,Fintech,Chatham,United States,North America,2012,$551M,"Point72 Ventures, Route 66 Ventures, Accel",2021,3
Flink Food,$3B,2021-12-01,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2021,$1B,"Mubadala Capital, Bond, Prosus Ventures",2021,3
PsiQuantum,$3B,2021-07-27,Hardware,Palo Alto,United States,North America,2016,$665M,"Playground Global, M12, BlackRock",2021,3
SpotOn,$3B,2021-05-26,Fintech,San Francisco,United States,North America,2017,$628M,"Dragoneer Investment Group, DST Global, Franklin Templeton",2021,3
Gorillas,$3B,2021-03-25,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2020,$1B,"Coatue Management, Atlantic Food Labs, DST Global",2021,3
HighRadius,$3B,2020-01-07,Fintech,Houston,United States,North America,2006,$475M,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital",2020,3
Loft,$3B,2020-01-03,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2018,$788M,"Monashees+, Andreessen Horowitz, QED Investors",2020,3
Nuvemshop,$3B,2021-08-17,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2011,$628M,"Kaszek Ventures, Qualcomm Ventures, Accel",2021,3
Udaan,$3B,2018-09-04,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2016,$1B,"DST Global, Lightspeed Venture Partners, Microsoft ScaleUp",2018,3
Workrise,$3B,2019-09-30,Internet software & services,Austin,United States,North America,2014,$722M,"Founders Fund, Quantum Energy Partners, Bedrock Capital",2019,3
ActiveCampaign,$3B,2021-04-21,Internet software & services,Chicago,United States,North America,2003,$360M,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management",2021,3
Age of Learning,$3B,2016-05-03,Edtech,Glendale,United States,North America,2007,$500M,Iconiq Capital,2016,3
Amber Group,$3B,2021-06-21,Fintech,,Hong Kong,Asia,2015,$328M,"Tiger Global Management, Tiger Brokers, DCM Ventures",2021,3
Anchorage Digital,$3B,2021-12-15,Fintech,San Francisco,United States,North America,2017,$487M,"Andreessen Horowitz, Blockchain Capital, Lux Capital",2021,3
BlockFi,$3B,2021-03-11,Fintech,Jersey City,United States,North America,2017,$1B,"ConsenSys Ventures, Valar Ventures, PUC",2021,3
Calendly,$3B,2021-01-26,Internet software & services,Atlanta,United States,North America,2013,$351M,"ICONIQ Capital, OpenView Venture Partners",2021,3
Carbon Health,$3B,2021-07-21,Health,San Francisco,United States,North America,2015,$523M,"Brookfield Asset Management, Blackstone, Data Collective",2021,3
Circle,$3B,2018-05-15,Fintech,Boston,United States,North America,2013,$711M,"General Catalyst, Digital Currency Group, Accel",2018,3
CMR Surgical,$3B,2019-09-17,Health,Cambridge,United Kingdom,Europe,2014,$975M,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital",2019,3
Contentful,$3B,2021-07-28,Internet software & services,Berlin,Germany,Europe,2013,$333M,"Balderton Capital, General Catalyst, Tiger Global Management",2021,3
Cross River Bank,$3B,2022-02-11,Fintech,Fort Lee,United States,North America,2008,$775M,"Battery Ventures, Andreessen Horowitz, Ribbit Capital",2022,3
Delhivery,$3B,2019-02-27,"Supply chain, logistics, & delivery",Gurgaon,India,Asia,2011,$1B,"Times Internet, Nexus Venture Partners, SoftBank Group",2019,3
FlixBus,$3B,2019-07-18,Auto & transportation,Munich,Germany,Europe,2013,$1B,"Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic",2019,3
Flutterwave,$3B,2021-03-09,Fintech,San Francisco,United States,North America,2016,$474M,"Green Visor Capital, CRE Venture Capital, Greycroft",2021,3
Forter,$3B,2020-11-19,Cybersecurity,New York,United States,North America,2013,$525M,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures",2020,3
Grafana Labs,$3B,2021-03-25,Internet software & services,New York,United States,North America,2014,$535M,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management",2021,3
Groww,$3B,2021-04-07,Fintech,Bengaluru,India,Asia,2017,$393M,"Tiger Global Management, Sequoia Capital India, Ribbit Capital",2021,3
Inxeption,$3B,2022-01-13,Fintech,San Francisco,United States,North America,2017,$187M,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors",2022,3
KK Group,$3B,2019-10-23,E-commerce & direct-to-consumer,Dongguan,China,Asia,2014,$612M,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group",2019,3
Lattice,$3B,2021-03-23,Internet software & services,San Francisco,United States,North America,2015,$329M,"Khosla Ventures, Thrive Capital, Y Combinator",2021,3
LaunchDarkly,$3B,2021-08-10,Internet software & services,Oakland,United States,North America,2014,$330M,"Uncork Capital, Threshold Ventures, Bloomberg Beta",2021,3
Lucid,$3B,2021-06-29,Internet software & services,South Jordan,United States,North America,2010,$170M,"Spectrum Equity, ICONIQ Capital, Grayhawk Capital",2021,3
Outschool,$3B,2021-04-14,Edtech,San Francisco,United States,North America,2015,$240M,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital",2021,3
Podium,$3B,2020-04-07,Internet software & services,Lehi,United States,North America,2014,$419M,"Accel, Summit Partners, Google Ventures",2020,3
Remote,$3B,2021-07-13,Fintech,San Francisco,United States,North America,2016,$496M,"Index Ventures, Sequoia Capital, General Catalyst",2021,3
Seismic,$3B,2018-12-18,Internet software & services,San Diego,United States,North America,2010,$427M,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners",2018,3
Sky Mavis,$3B,2021-10-04,Internet software & services,Ho Chi Minh City,Vietnam,Asia,2019,$311M,"Fabric Ventures, 500 Global, Standard Crypto",2021,3
SouChe Holdings,$3B,2017-11-01,E-commerce & direct-to-consumer,Hangzhou,China,Asia,2012,$1B,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund",2017,3
TradingView,$3B,2021-10-14,Fintech,Westerville,United States,North America,2011,$339M,"Tiger Global Management, Insight Partners, Jump Capital",2021,3
Traveloka,$3B,2017-01-01,Travel,Jakarta,Indonesia,Asia,2012,$1B,"Global Founders Capital, East Ventures, Expedia Inc.",2017,3
wefox,$3B,2019-03-05,Fintech,Berlin,Germany,Europe,2014,$919M,"Salesforce Ventures, Seedcamp, OMERS Ventures",2019,3
Wildlife Studios,$3B,2019-12-05,Other,Sao Paulo,Brazil,South America,2011,$180M,"Benchmark, Bessemer Venture Partners",2019,3
1047 Games,$2B,2021-09-14,Internet software & services,Zephyr Cove,United States,North America,2017,$127M,"VGames, Lakestar, Galaxy Interactive",2021,2
Baiwang,$2B,2019-03-25,Fintech,Beijing,China,Asia,2015,$224M,"Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital",2019,2
Boba,$2B,2022-04-05,Fintech,San Francisco,United States,North America,2018,$45M,"DeFi Technologies, Hypersphere Ventures, M13",2022,2
Bought By Many,$2B,2021-06-01,Fintech,London,United Kingdom,Europe,2012,$477M,"Octopus Ventures, Munich Re Ventures, CommerzVentures",2021,2
Cambridge Mobile Telematics,$2B,2018-12-19,Mobile & telecommunications,Cambridge,United States,North America,2010,$503M,SoftBank Group,2018,2
Carzone,$2B,2019-03-01,E-commerce & direct-to-consumer,Jiangsu,China,Asia,1995,$946M,"Alibaba Group,Co-Stone Venture Capital, Buhuo Venture Capital",2019,2
CFGI,$2B,2021-09-15,Fintech,Boston,United States,North America,2000,$19M,"The Carlyle Group, CVC Capital Partners",2021,2
Cgtz,$2B,2017-02-21,Fintech,Hangzhou,China,Asia,2014,$536M,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund",2017,2
Changingedu,$2B,2017-10-30,Edtech,Shanghai,China,Asia,2014,$188M,"Trustbridge Partners, IDG Capital, Sequoia Capital China",2017,2
eDaili,$2B,2019-02-01,E-commerce & direct-to-consumer,Shanghai,China,Asia,2015,$101M,"K2VC, Lightspeed China Partners, Sky9 Capital",2019,2
ENOVATE,$2B,2019-04-15,Auto & transportation,Shanghai,China,Asia,2015,$1B,Automobile Industry Guidance Fund,2019,2
Fenbi Education,$2B,2021-02-07,Edtech,Beijing,China,Asia,2015,$390M,"Trustbridge Partners, Hony Capital, IDG Capital",2021,2
Hesai Tech,$2B,2020-08-01,Artificial intelligence,Shanghai,China,Asia,2013,$717M,"Lightspeed China Partners, Baidu Ventures, Qiming Venture Partners",2020,2
Il Makiage,$2B,2022-01-10,E-commerce & direct-to-consumer,New York,United States,North America,2018,$29M,"L Catterton, Franklin Templeton, First Light Capital Group",2022,2
Iluvatar CoreX,$2B,2021-03-01,Hardware,Shanghai,China,Asia,2015,$186M,"Centurium Capital, Cedarlake Capital, Unicom Innovation Venture Capital",2021,2
Jusfoun Big Data,$2B,2018-07-09,Data management & analytics,Beijing,China,Asia,2010,$137M,"Boxin Capital, DT Capital Partners, IDG Capital",2018,2
Pagaya,$2B,2020-06-17,Fintech,Tel Aviv,Israel,Asia,2015,$417M,"Oak HC/FT Partners, GF Investments, Harvey Golub Family Office",2020,2
PolicyBazaar,$2B,2019-05-06,Fintech,Gurgaon,India,Asia,2008,$634M,"Info Edge, Softbank Capital",2019,2
